atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
26,Fe,iron,56Fe,54Fe,54,53.939608189,3.68e-07,2020,AME2020,0.05845,,,0.0010500000000000002,value,CIAAW 2024,CIAAW 2024,
26,Fe,iron,56Fe,56Fe,56,55.934935537,2.87e-07,2020,AME2020,0.91754,,,0.0010600000000000002,value,CIAAW 2024,CIAAW 2024,
26,Fe,iron,56Fe,57Fe,57,56.93539195,2.87e-07,2020,AME2020,0.02119,,,0.00029,value,CIAAW 2024,CIAAW 2024,
26,Fe,iron,56Fe,58Fe,58,57.933273575,3.39e-07,2020,AME2020,0.00282,,,0.00012000000000000002,value,CIAAW 2024,CIAAW 2024,
27,Co,cobalt,59Co,59Co,59,58.933193524,4.26e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
28,Ni,nickel,58Ni,58Ni,58,57.93534165,3.74e-07,2020,AME2020,0.680769,,,0.00018999999999999998,value,CIAAW 2024,CIAAW 2024,r
28,Ni,nickel,58Ni,60Ni,60,59.930785129,3.78e-07,2020,AME2020,0.262231,,,0.00015,value,CIAAW 2024,CIAAW 2024,
28,Ni,nickel,58Ni,61Ni,61,60.931054819,3.81e-07,2020,AME2020,0.011399,,,1.3e-05,value,CIAAW 2024,CIAAW 2024,
28,Ni,nickel,58Ni,62Ni,62,61.928344753,4.55e-07,2020,AME2020,0.036345,,,3.9999999999999996e-05,value,CIAAW 2024,CIAAW 2024,
28,Ni,nickel,58Ni,64Ni,64,63.927966228,4.97e-07,2020,AME2020,0.009256,,,1.8999999999999998e-05,value,CIAAW 2024,CIAAW 2024,
29,Cu,copper,63Cu,63Cu,63,62.929597119,4.57e-07,2020,AME2020,0.6915,,,0.0015,value,CIAAW 2024,CIAAW 2024,r
29,Cu,copper,63Cu,65Cu,65,64.927789476,6.9e-07,2020,AME2020,0.3085,,,0.0015,value,CIAAW 2024,CIAAW 2024,
30,Zn,zinc,64Zn,64Zn,64,63.929141776,6.9e-07,2020,AME2020,0.4917,,,0.007500000000000001,value,CIAAW 2024,CIAAW 2024,r
