atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
60,Nd,neodymium,142Nd,143Nd,143,142.909819815,1.347e-06,2020,AME2020,0.12174000000000001,,,0.00026000000000000003,value,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,144Nd,144,143.910092798,1.346e-06,2020,AME2020,0.23798000000000002,,,0.00019,value,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,145Nd,145,144.912579151,1.364e-06,2020,AME2020,0.08293000000000002,,,0.00012000000000000002,value,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,146Nd,146,145.913122459,1.366e-06,2020,AME2020,0.17189000000000002,,,0.00032,value,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,148Nd,148,147.916899027,2.203e-06,2020,AME2020,0.05756000000000001,,,0.00021,value,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,150Nd,150,149.920901322,1.211e-06,2020,AME2020,0.056380000000000006,,,0.00028000000000000003,value,CIAAW 2024,CIAAW 2024,
61,Pm,promethium,145Pm,145Pm,145,144.912755748,3.011e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,144Sm,144,143.912006285,1.566e-06,2020,AME2020,0.0308,,,0.0004,value,CIAAW 2024,CIAAW 2024,g
62,Sm,samarium,152Sm,147Sm,147,146.914904401,1.354e-06,2020,AME2020,0.15,,,0.0014,value,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,148Sm,148,147.914829233,1.337e-06,2020,AME2020,0.1125,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,149Sm,149,148.917191211,1.241e-06,2020,AME2020,0.1382,,,0.001,value,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,150Sm,150,149.917281993,1.193e-06,2020,AME2020,0.0737,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,152Sm,152,151.919738646,1.09e-06,2020,AME2020,0.2674,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
62,Sm,samarium,152Sm,154Sm,154,153.922215756,1.4e-06,2020,AME2020,0.2274,,,0.0014,value,CIAAW 2024,CIAAW 2024,
63,Eu,europium,153Eu,151Eu,151,150.919856606,1.251e-06,2020,AME2020,0.4781,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,g
63,Eu,europium,153Eu,153Eu,153,152.921236789,1.257e-06,2020,AME2020,0.5219,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,152Gd,152,151.919798414,1.081e-06,2020,AME2020,0.00204,,,2e-05,value,CIAAW 2024,CIAAW 2024,g
64,Gd,gadolinium,158Gd,154Gd,154,153.920872974,1.066e-06,2020,AME2020,0.02187,,,9e-05,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,155Gd,155,154.922629356,1.055e-06,2020,AME2020,0.14828,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,156Gd,156,155.92213012,1.054e-06,2020,AME2020,0.20493,,,0.00022,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,157Gd,157,156.923967424,1.048e-06,2020,AME2020,0.15657,,,0.00017,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,158Gd,158,157.9241112,1.048e-06,2020,AME2020,0.2482,,,0.0002,value,CIAAW 2024,CIAAW 2024,
64,Gd,gadolinium,158Gd,160Gd,160,159.927061202,1.206e-06,2020,AME2020,0.21811,,,0.00028000000000000003,value,CIAAW 2024,CIAAW 2024,
65,Tb,terbium,159Tb,159Tb,159,158.925353707,1.184e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,156Dy,156,155.924283593,1.06e-06,2020,AME2020,0.00056,,,3.0000000000000004e-05,value,CIAAW 2024,CIAAW 2024,g
66,Dy,dysprosium,164Dy,158Dy,158,157.924414817,2.509e-06,2020,AME2020,0.00095,,,3.0000000000000004e-05,value,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,160Dy,160,159.925203578,7.51e-07,2020,AME2020,0.02329,,,0.00018,value,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,161Dy,161,160.926939425,7.48e-07,2020,AME2020,0.18889,,,0.00042,value,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,162Dy,162,161.926804507,7.46e-07,2020,AME2020,0.25475,,,0.00036,value,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,163Dy,163,162.928737221,7.44e-07,2020,AME2020,0.24896,,,0.00042,value,CIAAW 2024,CIAAW 2024,
66,Dy,dysprosium,164Dy,164Dy,164,163.929180819,7.46e-07,2020,AME2020,0.2826,,,0.00054,value,CIAAW 2024,CIAAW 2024,
67,Ho,holmium,165Ho,165Ho,165,164.930329116,8.44e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
68,Er,erbium,166Er,162Er,162,161.928787299,8.11e-07,2020,AME2020,0.00139,,,5e-05,value,CIAAW 2024,CIAAW 2024,g
68,Er,erbium,166Er,164Er,164,163.929207739,7.55e-07,2020,AME2020,0.01601,,,3.0000000000000004e-05,value,CIAAW 2024,CIAAW 2024,
68,Er,erbium,166Er,166Er,166,165.930301067,3.58e-07,2020,AME2020,0.33503,,,0.00036,value,CIAAW 2024,CIAAW 2024,
68,Er,erbium,166Er,167Er,167,166.932056192,3.06e-07,2020,AME2020,0.22869,,,9e-05,value,CIAAW 2024,CIAAW 2024,
68,Er,erbium,166Er,168Er,168,167.932378282,2.8e-07,2020,AME2020,0.26978,,,0.00018,value,CIAAW 2024,CIAAW 2024,
68,Er,erbium,166Er,170Er,170,169.935471933,1.488e-06,2020,AME2020,0.1491,,,0.00036,value,CIAAW 2024,CIAAW 2024,
69,Tm,thulium,169Tm,169Tm,169,168.934218956,7.92e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,168Yb,168,167.933891297,1e-07,2020,AME2020,0.00126,,,1e-05,value,CIAAW 2024,CIAAW 2024,g
70,Yb,ytterbium,174Yb,170Yb,170,169.934767242,1.1e-08,2020,AME2020,0.03023,,,2e-05,value,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,171Yb,171,170.936331515,1.3e-08,2020,AME2020,0.14216,,,7.000000000000001e-05,value,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,172Yb,172,171.936386654,1.4e-08,2020,AME2020,0.21754,,,0.0001,value,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,173Yb,173,172.938216211,1.2e-08,2020,AME2020,0.16098,,,9e-05,value,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,174Yb,174,173.938867545,1.1e-08,2020,AME2020,0.31896,,,0.00026000000000000003,value,CIAAW 2024,CIAAW 2024,
70,Yb,ytterbium,174Yb,176Yb,176,175.942574706,1.5e-08,2020,AME2020,0.12887,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
71,Lu,lutetium,175Lu,175Lu,175,174.940777211,1.295e-06,2020,AME2020,0.97414,,,5e-05,value,CIAAW 2024,CIAAW 2024,g
71,Lu,lutetium,175Lu,176Lu,176,175.942691711,1.301e-06,2020,AME2020,0.02586,,,5e-05,value,CIAAW 2024,CIAAW 2024,
72,Hf,hafnium,180Hf,174Hf,174,173.940048377,2.425e-06,2020,AME2020,0.0016098229194788573,,,2e-05,value,CIAAW 2024,CIAAW 2024,g
72,Hf,hafnium,180Hf,176Hf,176,175.941409797,1.591e-06,2020,AME2020,0.05239423663397026,,,0.0014,value,CIAAW 2024,CIAAW 2024,
72,Hf,hafnium,180Hf,177Hf,177,176.943230187,1.514e-06,2020,AME2020,0.1857795642479327,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
72,Hf,hafnium,180Hf,178Hf,178,177.943708322,1.519e-06,2020,AME2020,0.27276999530051693,,,0.0006000000000000001,value,CIAAW 2024,CIAAW 2024,
72,Hf,hafnium,180Hf,179Hf,179,178.945825705,1.52e-06,2020,AME2020,0.1362850086490486,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
72,Hf,hafnium,180Hf,180Hf,180,179.946559537,1.525e-06,2020,AME2020,0.3511613722490526,,,0.0016,value,CIAAW 2024,CIAAW 2024,
73,Ta,tantalum,181Ta,180Ta,180,179.947467589,2.219e-06,2020,AME2020,0.0001176,,,2.3e-06,value,CIAAW 2024,CIAAW 2024,
73,Ta,tantalum,181Ta,181Ta,181,180.947998528,1.692e-06,2020,AME2020,0.9998824,,,2.3e-06,value,CIAAW 2024,CIAAW 2024,
74,W,tungsten,184W,180W,180,179.946713304,1.545e-06,2020,AME2020,0.0012,,,0.0001,value,CIAAW 2024,CIAAW 2024,
74,W,tungsten,184W,182W,182,181.948205636,7.99e-07,2020,AME2020,0.265,,,0.0016,value,CIAAW 2024,CIAAW 2024,
74,W,tungsten,184W,183W,183,182.950224416,7.98e-07,2020,AME2020,0.1431,,,0.0004,value,CIAAW 2024,CIAAW 2024,
74,W,tungsten,184W,184W,184,183.95093318,7.92e-07,2020,AME2020,0.3064,,,0.0002,value,CIAAW 2024,CIAAW 2024,
74,W,tungsten,184W,186W,186,185.95436514,1.302e-06,2020,AME2020,0.2843,,,0.0019,value,CIAAW 2024,CIAAW 2024,
75,Re,rhenium,187Re,185Re,185,184.95295832,8.79e-07,2020,AME2020,0.374,,,0.0005,value,CIAAW 2024,CIAAW 2024,
75,Re,rhenium,187Re,187Re,187,186.955752217,7.91e-07,2020,AME2020,0.626,,,0.0005,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,184Os,184,183.952492919,8.9e-07,2020,AME2020,0.0002,,,0.0002,value,CIAAW 2024,CIAAW 2024,g
76,Os,osmium,192Os,186Os,186,185.953837569,8.16e-07,2020,AME2020,0.0159,,,0.0064,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,187Os,187,186.955749569,7.91e-07,2020,AME2020,0.0196,,,0.0017000000000000001,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,188Os,188,187.955837292,7.88e-07,2020,AME2020,0.1324,,,0.0027,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,189Os,189,188.958145949,7.15e-07,2020,AME2020,0.1615,,,0.0023,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,190Os,190,189.958445442,6.97e-07,2020,AME2020,0.2626,,,0.002,value,CIAAW 2024,CIAAW 2024,
76,Os,osmium,192Os,192Os,192,191.961478765,2.484e-06,2020,AME2020,0.4078,,,0.0032,value,CIAAW 2024,CIAAW 2024,
77,Ir,iridium,193Ir,191Ir,191,190.960591455,1.406e-06,2020,AME2020,0.3723,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
77,Ir,iridium,193Ir,193Ir,193,192.962923753,1.425e-06,2020,AME2020,0.6277,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,190Pt,190,189.959949823,7.05e-07,2020,AME2020,0.00012000000000000002,,,2e-05,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,192Pt,192,191.961042667,2.758e-06,2020,AME2020,0.007820000000000002,,,0.00024000000000000003,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,194Pt,194,193.962683498,5.32e-07,2020,AME2020,0.32864000000000004,,,0.0041,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,195Pt,195,194.964794325,5.4e-07,2020,AME2020,0.33775000000000005,,,0.0024000000000000002,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,196Pt,196,195.964954648,5.47e-07,2020,AME2020,0.25211000000000006,,,0.0034000000000000002,value,CIAAW 2024,CIAAW 2024,
78,Pt,platinum,195Pt,198Pt,198,197.967896718,2.254e-06,2020,AME2020,0.07356000000000001,,,0.0013000000000000002,value,CIAAW 2024,CIAAW 2024,
79,Au,gold,197Au,197Au,197,196.966570103,5.81e-07,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,196Hg,196,195.965833445,3.163e-06,2020,AME2020,0.0015,,,0.0001,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,198Hg,198,197.966769177,4.91e-07,2020,AME2020,0.1004,,,0.00030000000000000003,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,199Hg,199,198.968280994,5.64e-07,2020,AME2020,0.1694,,,0.0012000000000000001,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,200Hg,200,199.968326941,5.68e-07,2020,AME2020,0.2314,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,201Hg,201,200.970303054,7.63e-07,2020,AME2020,0.1317,,,0.0009000000000000001,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,202Hg,202,201.970643604,7.57e-07,2020,AME2020,0.2974,,,0.0013000000000000002,value,CIAAW 2024,CIAAW 2024,
80,Hg,mercury,202Hg,204Hg,204,203.973494037,5.34e-07,2020,AME2020,0.0682,,,0.0004,value,CIAAW 2024,CIAAW 2024,
81,Tl,thallium,205Tl,203Tl,203,202.972344098,1.257e-06,2020,AME2020,0.29524,0.2944,0.2959,,interval,CIAAW 2024,CIAAW 2024,
81,Tl,thallium,205Tl,205Tl,205,204.974427318,1.33e-06,2020,AME2020,0.70476,0.7041,0.7056,,interval,CIAAW 2024,CIAAW 2024,
82,Pb,lead,208Pb,204Pb,204,203.973043506,1.231e-06,2020,AME2020,0.014244999999999902,0.0,0.0158,,interval,CIAAW 2024,CIAAW 2024,
82,Pb,lead,208Pb,206Pb,206,205.97446521,1.228e-06,2020,AME2020,0.24144699999999994,0.019,0.8673,,interval,CIAAW 2024,CIAAW 2024,
82,Pb,lead,208Pb,207Pb,207,206.975896821,1.231e-06,2020,AME2020,0.22082700000000002,0.0035,0.2351,,interval,CIAAW 2024,CIAAW 2024,
82,Pb,lead,208Pb,208Pb,208,207.976652005,1.232e-06,2020,AME2020,0.5234810000000002,0.0338,0.9775,,interval,CIAAW 2024,CIAAW 2024,
83,Bi,bismuth,209Bi,209Bi,209,208.980398599,1.465e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
84,Po,polonium,209Po,209Po,209,208.982430361,1.909e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
85,At,astatine,210At,210At,210,209.987147423,8.261e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
86,Rn,radon,222Rn,222Rn,222,222.017576017,2.086e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
87,Fr,francium,223Fr,223Fr,223,223.019734241,2.073e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
88,Ra,radium,226Ra,226Ra,226,226.025408186,2.068e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
89,Ac,actinium,227Ac,227Ac,227,227.027750594,2.068e-06,2020,AME2020,1.0,,,,radioactive,CIAAW 2024,CIAAW 2024,
90,Th,thorium,232Th,230Th,230,230.033132267,1.297e-06,2020,AME2020,0.0002,,,0.0002,value,CIAAW 2024,CIAAW 2024,g
90,Th,thorium,232Th,232Th,232,232.038053606,1.525e-06,2020,AME2020,0.9998,,,0.0002,value,CIAAW 2024,CIAAW 2024,
91,Pa,protactinium,231Pa,231Pa,231,231.0358825,1.901e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
92,U,uranium,238U,234U,234,234.040950296,1.212e-06,2020,AME2020,5.4e-05,,,4.9999999999999996e-06,value,CIAAW 2024,CIAAW 2024,g m
92,U,uranium,238U,235U,235,235.043928117,1.198e-06,2020,AME2020,0.007204,,,6e-06,value,CIAAW 2024,CIAAW 2024,
92,U,uranium,238U,238U,238,238.050786936,1.601e-06,2020,AME2020,0.992742,,,9.999999999999999e-06,value,CIAAW 2024,CIAAW 2024,
